transaction_id,order_date,ship_date,customer_id,customer_age,gender,product_id,product_category,quantity,unit_price,discount_pct,city,state,payment_type,order_status,ingestion_date
440,2023-12-05,2023-12-04,CUST105663,24,M,PROD1574,Grocery,0,,81.83,San Diego,CA,UPI,Delivered,2026-02-20
311,2024-11-08,2024-11-08,CUST149873,50,,PROD13385,Grocery,0,,46.66,Dallas,TX,UPI,Cancelled,2026-02-20
14,2023-12-15,2023-12-15,CUST47738,168,Male,PROD49295,Fashion,-5,470.11,,Chicago,IL,Card,Returned,2026-02-20
257,2024-07-24,2024-07-21,CUST44300,-6,Male,PROD26942,Electronics,0,470.85,,San Jose,CA,UPI,Cancelled,2026-02-20
150,2024-05-22,2024-05-30,CUST56709,,Female,PROD3664,Grocery,0,2.42,103.83,Houston,TX,,Cancelled,2026-02-20
331,2025-08-02,2025-08-06,CUST164543,20,Female,PROD41357,Electronics,3,,,Chicago,IL,COD,Delivered,2026-02-20
445,2023-07-22,2023-07-22,CUST167896,61,,PROD8708,Electronics,-3,-74.67544057407316,21.11,Los Angeles,CA,Card,Cancelled,2026-02-20
30,2025-06-15,2025-06-23,CUST2829,,Male,PROD47830,Furniture,-1,,,San Jose,CA,Crypto,Delivered,2026-02-20
263,2024-02-20,2024-02-20,CUST184088,129,Female,PROD10691,Grocery,0,,83.47,New York,NY,,Delivered,2026-02-20
25,2024-11-15,2024-11-24,CUST122589,37,M,PROD336,Sports,-3,518.05,,Houston,TX,UPI,Returned,2026-02-20
160,2025-06-25,2025-07-03,CUST146739,-3,Male,PROD31444,Grocery,-2,-68.82693801360988,83.08,Los Angeles,CA,COD,Delivered,2026-02-20
131,2024-04-30,2024-05-01,CUST24069,,,PROD49873,Electronics,7,426.39,22.2,Houston,TX,,Cancelled,2026-02-20
305,2025-04-25,2025-05-04,CUST167396,167,Male,PROD24384,Electronics,-5,-60.45015900774922,74.18,Philadelphia,PA,UPI,Returned,2026-02-20
